Property ID,Property Type,Bedrooms,Bathrooms,Floor Area,Postcode,Published Date,Price,Tenure,Council Tax Band,Parking,Garden,Distance From Nearest Station,Marketed By
149638160,Apartment,2,1,77,E14,2024-06-27,858500,Leasehold,0,False,False,0.1, Savills New Homes
149638082,Apartment,2,1,77,E14,2024-06-27,858500,Leasehold,D,False,True,0.1, CBRE Residential
149043812,Terraced,5,6,130,0,2024-06-12,850000,Freehold,0,False,True,0.3, CITY REALTOR LIMITED
147802010,Flat,2,1,95,E2,2024-05-09,850000,Leasehold,D,True,False,0.6, Keatons
141014345,Apartment,2,2,96,E14,2024-02-08,850000,Leasehold,0,False,True,0.1, JOHNS&CO
147911009,Flat,3,2,91,E2,2024-06-12,850000,Leasehold,E,False,False,0.2, BlakeStanley Estate Agents
137448668,Apartment,2,2,96,E14,2023-07-17,850000,Leasehold,F,False,True,0.2, Regent Letting and Property Management
148308716,Apartment,2,2,96,E14,2024-06-18,850000,Leasehold,F,False,True,0.0, JOHNS&CO
148585418,Apartment,1,2,74,E1,2024-05-31,850000,Leasehold,D,False,True,0.1, Savills
149145644,Apartment,2,2,96,E14,2024-06-14,850000,Leasehold,0,False,False,0.0, Regent Letting and Property Management
135517124,Apartment,2,2,84,E14,2023-05-31,850000,Leasehold,0,False,True,0.1, The London Broker
141914660,Apartment,2,2,95,E14,2024-02-19,850000,Leasehold,0,True,True,0.3, Invest & Co
141214223,Flat,1,1,48,E1,2023-10-24,850000,Share of Freehold,0,True,True,0.3, Circa London
149750267,Flat,2,2,96,E2,2024-07-01,850000,Share of Freehold,0,False,False,0.2, Chestertons
148368533,Flat,2,2,90,E14,2024-07-08,850000,Leasehold,F,False,False,0.1, O'Sullivan Property
148179008,Apartment,2,2,79,E14,2024-05-20,850000,Leasehold,0,False,False,0.1, Victorstone
149200247,Apartment,3,2,144,E1,2024-06-15,850000,Leasehold,F,True,True,0.2, Hurford Salvi Carr
147550700,Flat,2,2,104,E14,2024-06-06,850000,Leasehold,0,True,False,0.2, Chestertons
